id,station_type,station.tele_station_name.th
1248011307,tele_waterlevel,บ้านขนงพระเหนือ
1248017722,tele_waterlevel,สะพานธรรมจักร(วัดธรรมามูล)
1247993384,tele_waterlevel,ที่ว่าการอ.นครชัยศรี
1248017530,tele_waterlevel,สะพานแม่น้ำแควใหญ่
1247993388,tele_waterlevel,วัดบางไผ่นารถ
1248018035,tele_waterlevel,สะพานต้นน้ำ (เกาะแก้ว-ตลิ่งสูง)
1248017942,tele_waterlevel,เมืองยะลา
1248014574,tele_waterlevel,บ้านหัวสะพาน
1247993387,tele_waterlevel,ร.ร.บ้านสามพราน
1248017694,tele_waterlevel,คลองชะอวด
1248005272,tele_waterlevel,กรมชลประทานสามเสน
1247993386,tele_waterlevel,บ้านบางการ้อง
1248018046,tele_waterlevel,ปากรอ
1248018090,tele_waterlevel,บางเลน
1247679811,tele_waterlevel,สะพานตาบัว บ้านยาเด๊ะ
1248018091,tele_waterlevel,สะพานนครชัยศรี
1248005298,tele_waterlevel,สะพานหัวเวียง
1248017731,tele_waterlevel,สะพานนวลฉวี
1248017795,tele_waterlevel,นครไทย
1248017732,tele_waterlevel,สะพานกรุงเทพ
1248017690,tele_waterlevel,บางน้ำเปรี้ยว
1248017539,tele_waterlevel,น้ำตกโตนแพรทอง
1247963710,tele_waterlevel,บ้านหาดทรายแก้ว 
1248018036,tele_waterlevel,สะพานแม่เล่ย์
1248017979,tele_waterlevel,เมืองแกลง
1248017702,tele_waterlevel,บ่อดินขาว
1248017923,tele_waterlevel,สะพานข้ามคลองอู่ตะเภา
1247911175,tele_waterlevel,ประปายโสธร
1248017802,tele_waterlevel,พระรามสอง
1248018089,tele_waterlevel,วัดท่าเจดีย์ (TTC06)
1248014614,tele_waterlevel,บ้านนาสีทอง
1248017689,tele_waterlevel,บางปะกง
1248018093,tele_waterlevel,สองพี่น้อง
1248018042,tele_waterlevel,สะพานกะลูบี บ้านสายปารี
1248017968,tele_waterlevel,สะพานนางพระยา-บางหลวง ชุมชนปากนคร
1248007435,tele_waterlevel,วัดโชติการาม อ.เมืองสุราษฎร์ธานี
1247963707,tele_waterlevel,บ้านบองอ 
1248018071,tele_waterlevel,ลำเซบาย
1248014595,tele_waterlevel,หน้าวัดภูผาพิมุข
1248017780,tele_waterlevel,สะพานค่ายบางระจัน
1248017730,tele_waterlevel,บางปะอิน
1247993385,tele_waterlevel,บ้านวัดพระรูป
1248017955,tele_waterlevel,แม่น้ำลี้ บ้านโฮ่ง
1248018034,tele_waterlevel,เมืองอุทัยธานี
1248018041,tele_waterlevel,สะพานไอร์ปาโจ
1248017948,tele_waterlevel,เมืองตาก
1248017469,tele_waterlevel,สะพานท่าสำเภา
1248017798,tele_waterlevel,เมืองลพบุรี
1248017671,tele_waterlevel,ปตร. คลองตาสด
1246505824,tele_waterlevel,บางระกำ
1248017900,tele_waterlevel,สะพานบ้านแก่งโพธิ์
1248016556,tele_waterlevel,หน้าเขื่อนปากมูล
1248017668,tele_waterlevel,สวนศรีนครเขื่อนขันธ์
1248017681,tele_waterlevel,คลองระพีพัฒน์แยกใต้ หนองเสือ
1248017677,tele_waterlevel,คลองทวีวัฒนา ท้ายปตร.ทวีวัฒนา
1248017676,tele_waterlevel,คลองมหาสวัสดิ บางกรวย-สวนผัก
1248005281,tele_waterlevel,บ้านป้อม
1248016079,tele_waterlevel,แม่น้ำชี ฝายมหาสารคาม
1248008590,tele_waterlevel,บ้านแสนตอ
1247963685,tele_waterlevel,บ้านบูเก๊ะตา
1248017941,tele_waterlevel,บันนังสตา
1248018092,tele_waterlevel,เมืองสมุทรสาคร
1248018116,tele_waterlevel,ชุมแสงสงคราม
1248017801,tele_waterlevel,บ้านแพ้ว
1248017773,tele_waterlevel,บางตะบูนและบางตะบูนออก
1248000094,tele_waterlevel,สะพานอำเภอเขาสมิง
1248018082,tele_waterlevel,สถานีสูบน้ำคลองระบายชัยนาท-ป่าสัก 2 (ทุ่งเชียงราก)
1248018079,tele_waterlevel,สถานีสูบน้ำปากคลองสายห้วยแก้ว (ทุ่งซ้ายคลองชัยนาท)
1247993367,tele_waterlevel,สะพานข้ามแม่น้ำแม่กลองหน้าศาลากลางจ.กาญจนบุรี
1248018118,tele_waterlevel,ศาลาดิน
1248017913,tele_waterlevel,สะพานข้ามคลองบางม่วง
1248018108,tele_waterlevel,เมืองตราด
1248017896,tele_waterlevel,ปตร.ธรณิศนฤมิต-เหนือน้ำ
1247993372,tele_waterlevel,บ้านหนองบัว
1248018080,tele_waterlevel,สถานีสูบน้ำปากคลองสระตาแวว (ทุ่งซ้ายคลองชัยนาท)
1248016551,tele_waterlevel,แม่น้ำมูล ท้ายแก่งสะพือ (M.11B)
1247999030,tele_waterlevel,บางระกำ
1248017709,tele_waterlevel,ฝาง
1248016554,tele_waterlevel,แม่น้ำมูล บ้านคันไร่
1248005282,tele_waterlevel,บ้านบางหลวงโดด
1248017797,tele_waterlevel,บางปะหัน
1247923374,tele_waterlevel,บ้านสบสอย
1248017886,tele_waterlevel,เชียรใหญ่
1248017470,tele_waterlevel,คลองสุหงาบารู หมู่ที่ 4
1248017943,tele_waterlevel,สะพานบ้านตรังพัฒนา
1248018103,tele_waterlevel,พุนพิน 3
1248017684,tele_waterlevel,คลองจระเข้ใหญ่ บางเสาธง (วัดศรีวารีน้อย)
1248005292,tele_waterlevel,สะพานปรีดี-ธำรง
1248017728,tele_waterlevel,คลองบางบาล
1248014608,tele_waterlevel,บ้านคลองลำ
1248017792,tele_waterlevel,เมืองกาญจนบุรี
1248017675,tele_waterlevel,คลองเปรมประชากร หลักหก
1248018110,tele_waterlevel,วังกระแจะ
1248017460,tele_waterlevel,สะพานวัดมงคลร่วมใจ (บ้านวังสาร)
1248017686,tele_waterlevel,คลองนราภิรมย์ (บางเลน)
1248000098,tele_waterlevel,เทศบาลเมือง
1248017937,tele_waterlevel,หนองไผ่
1248017670,tele_waterlevel,ปตร. คลองลัดบางยอ 2
1248008917,tele_waterlevel,น้ำพรม อ.เกษตรสมบูรณ์
1248018081,tele_waterlevel,ทรบ. ปากคลองห้าวา (ทุ่งท่าวุ้ง)
1248017727,tele_waterlevel,คลองบางหลวง
1248011320,tele_waterlevel,ตำบลในเมือง
1248018087,tele_waterlevel,สามชุก
1248006029,tele_waterlevel,ฝายคลองท่าเลา
1248017669,tele_waterlevel,ปตร.วัดบางกระเจ้านอก
1248018101,tele_waterlevel,พุนพิน 1
1248017679,tele_waterlevel,คลองมหาชัย วัดพันท้ายนรสิงห์
1247999032,tele_waterlevel,บ้านราชช้างขวัญ
1248017914,tele_waterlevel,สะพานข้ามคลองลำปำ
1248005290,tele_waterlevel,วัดเกยไชยเหนือ
1247999053,tele_waterlevel,บ้านหนองกระท้าว
1248009697,tele_waterlevel,สว่างแดนดิน
1248011315,tele_waterlevel,บ้านซึม
1246875828,tele_waterlevel,สะพานบ้านแหลมโตนด
1247963692,tele_waterlevel,บ้านไสหาร
1248018049,tele_waterlevel,ละงู
1248018085,tele_waterlevel,สะพานคง-ศุข ศรีสวัสดิ์
1248017939,tele_waterlevel,นครหลวง
1248018068,tele_waterlevel,ลำน้ำอูน
1248017946,tele_waterlevel,ท่ายาง
1248017734,tele_waterlevel,เสนา
1248017520,tele_waterlevel,สะพานน้ำปี้ เชียงม่วน
1248000101,tele_waterlevel,ตำบลท่าหลวง
1247911179,tele_waterlevel,บ้านฟ้าหยาด
1248018102,tele_waterlevel,พุนพิน 2
1248017890,tele_waterlevel,องครักษ์
1248017719,tele_waterlevel,สะพานเดชาติวงศ์
1248018052,tele_waterlevel,สวี 1
1247911187,tele_waterlevel,บ้านดอนขยอม
1248014578,tele_waterlevel,บ้านเคียนซา
1248017922,tele_waterlevel,สะพานเทพาสันติสุข
1248005283,tele_waterlevel,บ้านบางบาล
1248017925,tele_waterlevel,สะพานข้ามคลองระโนด
1248012800,tele_waterlevel,เมืองอุดรธานี
1248000099,tele_waterlevel,บ้านหน้าเมือง
1248018066,tele_waterlevel,คลองปาว
1248014559,tele_waterlevel,บ้านปายอยือนิ 
1248017875,tele_waterlevel,ตะพานหิน
1248017729,tele_waterlevel,พระนครศรีอยุธยา
1247999028,tele_waterlevel,สามง่าม
1248017688,tele_waterlevel,คลองลาดพร้าว วัดบางบัว
1248017960,tele_waterlevel,เมืองปราจีนบุรี
